Date,Target
2017-09-16,3701.0
2017-09-17,2863.0
2017-09-18,5657.0
2017-09-19,5796.0
2017-09-20,7333.0
2017-09-21,8031.0
2017-09-22,6285.0
2017-09-23,3212.0
2017-09-24,3073.0
2017-09-25,5657.0
2017-09-26,5796.0
2017-09-27,7682.0
2017-09-28,7193.0
2017-09-29,6146.0
2017-09-30,3492.0
2017-10-01,4400.0
2017-10-02,6215.0
2017-10-03,6844.0
2017-10-04,6076.0
2017-10-05,6215.0
2017-10-06,4190.0
2017-10-07,2793.0
2017-10-08,2514.0
2017-10-09,4749.0
2017-10-10,5377.0
2017-10-11,6215.0
2017-10-12,5936.0
2017-10-13,5936.0
2017-10-14,3771.0
2017-10-15,2444.0
2017-10-16,5936.0
2017-10-17,5866.0
2017-10-18,6076.0
2017-10-19,6006.0
2017-10-20,6076.0
2017-10-21,2933.0
2017-10-22,3003.0
2017-10-23,5238.0
2017-10-24,5098.0
2017-10-25,5377.0
2017-10-26,6565.0
2017-10-27,6914.0
2017-10-28,3492.0
2017-10-29,2863.0
2017-10-30,6355.0
2017-10-31,4819.0
2017-11-01,7542.0
2017-11-02,6425.0
2017-11-03,5517.0
2017-11-04,3841.0
2017-11-05,3212.0
2017-11-06,6215.0
2017-11-07,5866.0
2017-11-08,6006.0
2017-11-09,6495.0
2017-11-10,6704.0
2017-11-11,3562.0
2017-11-12,3422.0
2017-11-13,6704.0
2017-11-14,6076.0
2017-11-15,5936.0
2017-11-16,6076.0
2017-11-17,6565.0
2017-11-18,2863.0
2017-11-19,3212.0
2017-11-20,6565.0
2017-11-21,6215.0
2017-11-22,5796.0
2017-11-23,2025.0
2017-11-24,4889.0
2017-11-25,4190.0
2017-11-26,3841.0
2017-11-27,7403.0
2017-11-28,6565.0
2017-11-29,7752.0
2017-11-30,8450.0
2017-12-01,6774.0
2017-12-02,4470.0
2017-12-03,3003.0
2017-12-04,6984.0
2017-12-05,6355.0
2017-12-06,6774.0
2017-12-07,6215.0
2017-12-08,5796.0
2017-12-09,3492.0
2017-12-10,3212.0
2017-12-11,6914.0
2017-12-12,6704.0
2017-12-13,6704.0
2017-12-14,6634.0
2017-12-15,5727.0
2017-12-16,3981.0
2017-12-17,2584.0
2017-12-18,5936.0
2017-12-19,4679.0
2017-12-20,6355.0
2017-12-21,7403.0
2017-12-22,4958.0
2017-12-23,3352.0
2017-12-24,2165.0
2017-12-25,2025.0
2017-12-26,5098.0
2017-12-27,6355.0
2017-12-28,7193.0
2017-12-29,6565.0
2017-12-30,2863.0
2017-12-31,2584.0
2018-01-01,3143.0
2018-01-02,7193.0
2018-01-03,7822.0
2018-01-04,8939.0
2018-01-05,7123.0
2018-01-06,3771.0
2018-01-07,2933.0
2018-01-08,6844.0
2018-01-09,5587.0
2018-01-10,6984.0
2018-01-11,6146.0
2018-01-12,5796.0
2018-01-13,3841.0
2018-01-14,3841.0
